Signal_Name,Latitude,Longitude
SA G:A184,21.302232,80.46188
L XING,21.301752,80.46385
SA G:A186,21.301473,80.479923
L XING,21.301458,80.481692
SKS HOME,21.30142,80.485552
L XING,21.30126,80.488517
SKS STR,21.301027,80.497373
SKS ADV STR,21.300418,80.499778
SA G:A188,21.29879,80.505767
L XING,21.298215,80.507883
NEU SEC,21.296557,80.513877
A:A190,21.295458,80.517865
A:A192,21.291157,80.525015
SA G:A194,21.278912,80.54179
L XING,21.277655,80.543087
A:A196,21.267683,80.555412
DKS HOME,21.275172,80.576297
L XING,21.273028,80.57854
DKS STR,21.268037,80.583333
DKS ADV STR,21.265278,80.58598
A:A202,21.256145,80.596497
SA G:A204,21.247717,80.60024
L XING,21.245848,80.601087
A:A206,21.238807,80.60653
A:A208,21.231133,80.612725
BTL HOME,21.224648,80.617993
L XING,21.219058,80.622872
BTL STR,21.216957,80.630135
BTL ADV STR,21.216092,80.633763
L XING,21.215105,80.637492
A:A210,21.210117,80.641787
A:A212,21.199257,80.65212
A:A214,21.195653,80.659593
NEU SEC,21.194643,80.66715
SA G:A216,21.195617,80.669763
L XING,21.196487,80.671988
A:A218,21.194055,80.679713
PJB HOME,21.188495,80.687462
PJB STR,21.181958,80.696278
PJB ADV STR,21.180383,80.698457
SA G:A284,21.174805,80.706303
L XING,21.173908,80.70789
SA G:A286,21.1719,80.71789
L XING,21.171737,80.719508
A:A288,21.1774,80.730778
A:A290,21.18139,80.740003
DGG HOME,21.185108,80.7488
DGG STR,21.185215,80.762848
DGG ADV STR,21.185237,80.768143
SA G:A292,21.184633,80.782937
L XING,21.184567,80.78496
A:A294,21.184263,80.795448
SA G:A296,21.18382,80.809125
L XING,21.183623,80.81086
JTR HOME,21.1831,80.813102
JTR STR,21.179182,80.82207
JTR ADV STR,21.176577,80.827722
A:A302,21.17182,80.838055
A:A304,21.1679,80.846588
A:A306,21.164097,80.85622
NEU SEC,21.162962,80.859148
MUA HOME,21.15836,80.870958
L XING,21.157168,80.873653
MUA STR,21.152045,80.879717
MUA ADV STR,21.149107,80.882563
SA G:A314,21.136952,80.894208
L XING,21.135723,80.895377
A:A316,21.130192,80.900695
SA G:A318,21.130475,80.916478
L XING,21.13066,80.918408
SA G:A320,21.129352,80.929327
L XING,21.129133,80.930958
BAKL HOME,21.127942,80.934262
BAKL STR,21.122317,80.945785
BAKL ADV STR,21.120957,80.948567
L XING,21.119465,80.951628
SA G:A326,21.11291,80.96508
L XING,21.112013,80.966915
A:A328,21.109447,80.974932
A:A330,21.108197,80.984975
A:A332,21.106965,80.995188
A:A334,21.105722,81.004953
A:A336,21.103822,81.020253
RJN HOME,21.1035,81.028122
RJN STR,21.100342,81.040647
L XING,21.100105,81.04242
RJN ADV STR,21.10034,81.044628
NEU SEC,21.101482,81.047477
A:A338,21.107858,81.057003
A:A340,21.114138,81.069845
A:A342,21.124085,81.080817
PMS HOME,21.132662,81.090235
PMS STR,21.143377,81.102025
PMS ADV STR,21.145603,81.104492
A:A344,21.156235,81.116273
A:A346,21.167698,81.128933
MUP HOME,21.178937,81.141302
L XING,21.18029,81.14289
MUP STR,21.184047,81.150732
MUP ADV STR,21.184947,81.153308
L XING,21.18605,81.156455
A:A350,21.189623,81.166658
SA G:A352,21.194438,81.180253
